specimen,split,train_ratio,model,rmse_forecast,mae_forecast,sigma,loglik,AIC,BIC,n_fit,n_calibration,n_forecast,coverage_90,interval_width_90,wis_90,threshold_q80_median,threshold_q80_q05,threshold_q80_q95,p_threshold_q80_by_end,published_hybrid_available,C0,k,alpha,f_inf,tau,beta,C_inf,Delta,lambda
C2,70/30,0.7,FOK,5.216761203094544,3.247921001749412,0.005525903390654898,54.91118002966729,-101.82236005933459,-99.26613074087355,14,3,8,0.625,3.7830332144125425,46.8862970635602,250.26419311794675,238.63532912793104,264.09098435858635,1.0,True,99.31146225232133,0.007082537288094118,0.6143781611035999,1.0001910623587322e-06,,,,,
C2,70/30,0.7,KWW,4.468762134504764,2.5638645555617776,0.004940078065740009,56.48009856689565,-104.9601971337913,-102.40396781533026,14,3,8,,,,,,,,True,99.54165864642971,,,,109636819.71453418,0.5468668393751834,-24605.635183222745,,
C3,50/50,0.5,Classical,8.459698786581471,7.862598697469192,0.009598634019174357,33.77195947097147,-61.543918941942934,-60.6361636629608,10,2,13,,,,,,,,True,,,,,,,87.7229787001261,10.795612503483811,0.020855301250824465
C3,50/50,0.5,FOK,2.7485078163314403,2.5112652769481993,0.005030617665230489,40.73273972936175,-73.4654794587235,-72.2551390867473,10,2,13,0.07692307692307693,3.246565507074261,21.120165225015036,473.0685257549801,389.7757708182353,600.0787199100106,0.882,True,99.80381189933058,0.012574938766708442,0.45884633932980895,1.000005090286324e-06,,,,,
C3,50/50,0.5,KWW,2.1934383492034715,2.012580622835745,0.0048011375678577856,41.1996386263839,-74.3992772527678,-73.18893688079162,10,2,13,,,,,,,,True,99.86503932220184,,,,3640500694.8300786,0.4259445269046188,-17779.28107326849,,
C3,60/40,0.6,Classical,7.654529647732239,7.273506296173653,0.00903046599883237,40.958553288609814,-75.91710657721963,-74.46238662785562,12,3,10,,,,,,,,True,,,,,,,85.8516973237212,12.427060507870578,0.014967491600784848
C3,60/40,0.6,FOK,2.763671842595887,2.62919504851221,0.0044377137499775465,49.984129077523946,-91.96825815504789,-90.02863155589588,12,3,10,0.3,4.584457654602853,15.055916609258443,455.73629302692865,411.0700427458751,516.7163571783633,0.988988988988989,True,99.76497127544154,0.012097191437307628,0.4679790506869343,2.585410119026161e-06,,,,,
C3,60/40,0.6,KWW,2.253774842789654,2.1549804471572314,0.004213091914683247,50.60743935318488,-93.21487870636976,-91.27525210721775,12,3,10,,,,,,,,True,99.84900355978672,,,,1330946167.903453,0.43027414386644297,-12437.87914201464,,
C3,70/30,0.7,Classical,5.842361215862605,5.5056148788148604,0.009952875774685278,46.17337299298311,-86.34674598596622,-84.42957399712044,14,3,8,,,,,,,,True,,,,,,,83.05838885644705,14.881527224729972,0.0098330707522343
C3,70/30,0.7,FOK,1.9991641113514829,1.8862629536875222,0.0053754250814194516,55.297707259657535,-102.59541451931507,-100.03918520085404,14,3,8,0.125,3.047548213516876,11.417243852113593,410.42659243432786,367.20876344913484,463.79835504181995,1.0,True,99.54145592418986,0.010066439491571193,0.5059166459939921,1.000000291621442e-06,,,,,
