split,specimen,qoi,time_h,parameter,method,index_type,value,ci_low,ci_high
50/50,C5,normalized_retention,491.42857142857144,f_inf,morris,mu_star,1.5180427848093814e-07,,
50/50,C5,normalized_retention,491.42857142857144,f_inf,morris,sigma,7.614878042228858e-08,,
50/50,C5,normalized_retention,502.8571428571429,k,sobol,first,-0.011747608168178214,-0.10542339405979603,0.10127609264847394
50/50,C5,normalized_retention,502.8571428571429,k,sobol,total,0.06590666803491883,0.05627435332330131,0.07344064519029891
50/50,C5,normalized_retention,502.8571428571429,k,morris,mu_star,0.085503726580094,,
50/50,C5,normalized_retention,502.8571428571429,k,morris,sigma,0.03142650966667415,,
50/50,C5,normalized_retention,502.8571428571429,alpha,sobol,first,0.9278920294309418,0.9192675939378597,0.9369035627173677
50/50,C5,normalized_retention,502.8571428571429,alpha,sobol,total,1.021792898585262,0.9087861961065731,1.1076731499470942
50/50,C5,normalized_retention,502.8571428571429,alpha,morris,mu_star,0.32230380255665364,,
50/50,C5,normalized_retention,502.8571428571429,alpha,morris,sigma,0.058241959876625116,,
50/50,C5,normalized_retention,502.8571428571429,f_inf,sobol,first,-0.05013537730199347,-0.1415312637286217,0.039856324768653396
50/50,C5,normalized_retention,502.8571428571429,f_inf,sobol,total,2.216688249239086e-13,1.9139871211293636e-13,2.550449755917895e-13
50/50,C5,normalized_retention,502.8571428571429,f_inf,morris,mu_star,1.5346522034831444e-07,,
50/50,C5,normalized_retention,502.8571428571429,f_inf,morris,sigma,7.695950001225673e-08,,
50/50,C5,normalized_retention,514.2857142857143,k,sobol,first,-0.012222137100819097,-0.10594776490491165,0.10065946707319984
50/50,C5,normalized_retention,514.2857142857143,k,sobol,total,0.0653402824900505,0.05579830814956973,0.07282477315838545
50/50,C5,normalized_retention,514.2857142857143,k,morris,mu_star,0.08601305436632473,,
50/50,C5,normalized_retention,514.2857142857143,k,morris,sigma,0.031455632284949776,,
50/50,C5,normalized_retention,514.2857142857143,alpha,sobol,first,0.9285437644249275,0.9199746398435484,0.9374830662147811
50/50,C5,normalized_retention,514.2857142857143,alpha,sobol,total,1.0221974374496356,0.9092361521266258,1.1080494836171468
50/50,C5,normalized_retention,514.2857142857143,alpha,morris,mu_star,0.32597980057693393,,
50/50,C5,normalized_retention,514.2857142857143,alpha,morris,sigma,0.05857873504603292,,
50/50,C5,normalized_retention,514.2857142857143,f_inf,sobol,first,-0.050195999933078994,-0.1415254665938759,0.039945435074220645
50/50,C5,normalized_retention,514.2857142857143,f_inf,sobol,total,2.2158053685384025e-13,1.9133463882991917e-13,2.5493444277759476e-13
50/50,C5,normalized_retention,514.2857142857143,f_inf,morris,mu_star,1.5509852807071845e-07,,
50/50,C5,normalized_retention,514.2857142857143,f_inf,morris,sigma,7.77522501385514e-08,,
50/50,C5,normalized_retention,525.7142857142858,k,sobol,first,-0.01268292641145563,-0.10645611355015677,0.10005871849207178
50/50,C5,normalized_retention,525.7142857142858,k,sobol,total,0.06479066075615499,0.05533652304051962,0.07218847487553055
50/50,C5,normalized_retention,525.7142857142858,k,morris,mu_star,0.08650438764754438,,
50/50,C5,normalized_retention,525.7142857142858,k,morris,sigma,0.03147513249020601,,
50/50,C5,normalized_retention,525.7142857142858,alpha,sobol,first,0.9291769071065744,0.9206610749570223,0.9380460759812457
50/50,C5,normalized_retention,525.7142857142858,alpha,sobol,total,1.0225889778267967,0.9096720695526367,1.108412674800438
50/50,C5,normalized_retention,525.7142857142858,alpha,morris,mu_star,0.32958390849494423,,
