specimen,split,time,lead_time,observed,predicted,signed_residual
C3,70/30,560.0,250.0,73.54555433589462,76.86800201551969,-3.3224476796250713
C4,50/50,190.0,0.0,83.5214446952596,83.79457335584092,-0.273128660581321
C4,50/50,214.0,24.0,81.82844243792326,82.70942621214913,-0.8809837742258679
C4,50/50,238.0,48.0,79.79683972911965,81.6862350837995,-1.8893953546798485
C4,50/50,262.0,72.0,79.45823927765238,80.7167658952226,-1.2585266175702117
C4,50/50,286.0,96.0,79.11963882618511,79.79451206216254,-0.6748732359774294
C4,50/50,310.0,120.0,78.78103837471784,78.9142176895513,-0.13317931483345546
C4,50/50,334.0,144.0,76.52370203160271,78.07155916161624,-1.5478571300135258
C4,50/50,358.0,168.0,75.31602708803612,77.26292488783795,-1.9468977998018318
C4,50/50,382.0,192.0,74.04063205417607,76.4852583666061,-2.4446263124300316
C4,50/50,406.0,216.0,73.02483069977427,75.7359435407188,-2.711112840944523
C4,50/50,430.0,240.0,72.00902934537245,75.01271920730345,-3.0036898619309937
C4,50/50,478.0,288.0,67.15575620767495,73.6368955886219,-6.481139380946942
C4,50/50,560.0,370.0,62.07674943566592,71.47414272505944,-9.39739328939352
C4,60/40,262.0,0.0,79.45823927765238,80.59758764655038,-1.1393483688979984
C4,60/40,286.0,24.0,79.11963882618511,79.6595127706321,-0.5398739444469953
C4,60/40,310.0,48.0,78.78103837471784,78.76370198502605,0.017336389691791965
C4,60/40,334.0,72.0,76.52370203160271,77.90584064078111,-1.3821386091783978
C4,60/40,358.0,96.0,75.31602708803612,77.08232074521307,-1.766293657176945
C4,60/40,382.0,120.0,74.04063205417607,76.29008574007271,-2.24945368589664
C4,60/40,406.0,144.0,73.02483069977427,75.52651701023858,-2.501686310464308
C4,60/40,430.0,168.0,72.00902934537245,74.78934908522945,-2.780319739856992
C4,60/40,478.0,216.0,67.15575620767495,73.38654674895827,-6.230790541283312
C4,60/40,560.0,298.0,62.07674943566592,71.18037603134903,-9.10362659568311
C4,70/30,310.0,0.0,78.78103837471784,78.08703666818059,0.6940017065372501
C4,70/30,334.0,24.0,76.52370203160271,77.16091151232331,-0.6372094807205997
C4,70/30,358.0,48.0,75.31602708803612,76.27049303766773,-0.9544659496316115
C4,70/30,382.0,72.0,74.04063205417607,75.4127373034942,-1.3721052493181247
C4,70/30,406.0,96.0,73.02483069977427,74.58502507406706,-1.5601943742927915
C4,70/30,430.0,120.0,72.00902934537245,73.78508092244377,-1.7760515770713141
C4,70/30,478.0,168.0,67.15575620767495,72.26075717597364,-5.1050009682986826
C4,70/30,560.0,250.0,62.07674943566592,69.85894321361262,-7.782193777946702
C5,50/50,190.0,0.0,82.11801660309625,83.56976892718463,-1.4517523240883747
C5,50/50,214.0,24.0,80.54745344402065,82.52566627632446,-1.9782128323038108
C5,50/50,238.0,48.0,78.41597487098946,81.54353457567174,-3.127559704682284
C5,50/50,262.0,72.0,78.19160870540723,80.61491187601185,-2.423303170604612
C5,50/50,286.0,96.0,77.74287637424277,79.73313788631104,-1.9902615120682725
C5,50/50,310.0,120.0,76.5088624635405,78.8928521583757,-2.3839896948352077
C5,50/50,334.0,144.0,74.82611622167377,78.08966003790282,-3.2635438162290455
C5,50/50,358.0,168.0,73.92865155934486,77.31990225203951,-3.391250692694655
C5,50/50,382.0,192.0,73.81646847655372,76.58049120534088,-2.764022728787154
C5,50/50,406.0,216.0,73.03118689701591,75.86879168596514,-2.8376047889492213
C5,50/50,430.0,240.0,71.79717298631365,75.18253202686343,-3.3853590405497727
C5,50/50,478.0,288.0,70.11442674444694,73.87867420385946,-3.764247459412516
C5,50/50,560.0,370.0,66.8611173435046,71.832885214975,-4.971767871470391
C5,60/40,262.0,0.0,78.19160870540723,79.47999476323278,-1.288386057825548
C5,60/40,286.0,24.0,77.74287637424277,78.47164166389652,-0.7287652896537509
C5,60/40,310.0,48.0,76.5088624635405,77.50788573949619,-0.9990232759556932
C5,60/40,334.0,72.0,74.82611622167377,76.58430098672996,-1.7581847650561855
C5,60/40,358.0,96.0,73.92865155934486,75.69717343074446,-1.7685218713995994
C5,60/40,382.0,120.0,73.81646847655372,74.84334646293118,-1.0268779863774569
C5,60/40,406.0,144.0,73.03118689701591,74.02010744146342,-0.9889205444475095
C5,60/40,430.0,168.0,71.79717298631365,73.22510273518476,-1.427929748871108
C5,60/40,478.0,216.0,70.11442674444694,71.71180229248621,-1.5973755480392668
C5,60/40,560.0,298.0,66.8611173435046,69.33139983509251,-2.470282491587909
C5,70/30,310.0,0.0,76.5088624635405,76.2357540038563,0.2731084596841953
C5,70/30,334.0,24.0,74.82611622167377,75.17899073493014,-0.3528745132563671
C5,70/30,358.0,48.0,73.92865155934486,74.16113352374603,-0.23248196440117397
C5,70/30,382.0,72.0,73.81646847655372,73.17910774494248,0.6373607316112384
C5,70/30,406.0,96.0,73.03118689701591,72.23024728283941,0.8009396141764995
C5,70/30,430.0,120.0,71.79717298631365,71.31221895056873,0.48495403574492
C5,70/30,478.0,168.0,70.11442674444694,69.56065482549008,0.5537719189568691
C5,70/30,560.0,250.0,66.8611173435046,66.7967586396632,0.06435870384140685
C6,50/50,190.0,0.0,74.11347517730496,73.3691008971748,0.7443742801301596
C6,50/50,214.0,24.0,71.15839243498819,71.49724850550697,-0.3388560705187871
C6,50/50,238.0,48.0,68.79432624113477,69.74385360032811,-0.9495273591933397
C6,50/50,262.0,72.0,68.20330969267141,68.09429311467599,0.10901657799541908
C6,50/50,286.0,96.0,67.61229314420805,66.53680019623012,1.075492947977935
C6,50/50,310.0,120.0,67.0212765957447,65.06171326134563,1.9595633343990642
C6,50/50,334.0,144.0,65.7210401891253,63.66096631621555,2.0600738729097543
C6,50/50,358.0,168.0,64.8936170212766,62.32773099900532,2.565886022271279
C6,50/50,382.0,192.0,64.18439716312056,61.0561578575802,3.1282393055403617
C6,50/50,406.0,216.0,63.12056737588653,59.841184774132756,3.279382601753774
C6,50/50,430.0,240.0,61.111111111111114,58.67839209170269,2.432719019408424
C6,50/50,478.0,288.0,57.68321513002364,56.494236584053716,1.188978545969924
C6,50/50,560.0,370.0,53.427895981087474,53.13864303154075,0.28925294954672154
C6,60/40,262.0,0.0,68.20330969267141,67.92065095531423,0.28265873735718117
C6,60/40,286.0,24.0,67.61229314420805,66.34133029693099,1.2709628472770618
C6,60/40,310.0,48.0,67.0212765957447,64.84517581190248,2.176100783842216
C6,60/40,334.0,72.0,65.7210401891253,63.42412818969923,2.2969119994260723
C6,60/40,358.0,96.0,64.8936170212766,62.07135502781772,2.8222619934588806
C6,60/40,382.0,120.0,64.18439716312056,60.780995639424816,3.4034015236957487
C6,60/40,406.0,144.0,63.12056737588653,59.54797187441871,3.5725955014678235
C6,60/40,430.0,168.0,61.111111111111114,58.36784490964939,2.743266201461722
C6,60/40,478.0,216.0,57.68321513002364,56.151084262968155,1.5321308670554856
C6,60/40,560.0,298.0,53.427895981087474,52.74570469972739,0.6821912813600832
C6,70/30,310.0,0.0,67.0212765957447,65.12610371957501,1.8951728761696813
C6,70/30,334.0,24.0,65.7210401891253,63.727001761185,1.9940384279403034
C6,70/30,358.0,48.0,64.8936170212766,62.39522005085836,2.4983969704182343
C6,70/30,382.0,72.0,64.18439716312056,61.1249305688934,3.0594665942271675
C6,70/30,406.0,96.0,63.12056737588653,59.91108951312558,3.2094778627609486
C6,70/30,430.0,120.0,61.111111111111114,58.7492930171482,2.361818093962917
C6,70/30,478.0,168.0,57.68321513002364,56.56677544206671,1.1164396879569338
C6,70/30,560.0,250.0,53.427895981087474,53.213094353716414,0.21480162737105957
C7,50/50,190.0,0.0,83.0453563714903,82.74321277972469,0.30214359176561345
C7,50/50,214.0,24.0,81.74946004319655,81.8300335003736,-0.08057345717705289
C7,50/50,238.0,48.0,79.37365010799137,80.98034338221032,-1.606693274218955
C7,50/50,262.0,72.0,77.74298056155507,80.18456693647748,-2.4415863749224087
C7,50/50,286.0,96.0,77.32181425485962,79.43528593367243,-2.1134716788128145
C7,50/50,310.0,120.0,76.56587473002162,78.7266162068011,-2.160741476779478
C7,50/50,334.0,144.0,75.05399568034558,78.05379830096759,-2.999802620622006
C7,50/50,358.0,168.0,74.29805615550757,77.41291861348952,-3.114862457981957
C7,50/50,382.0,192.0,74.19006479481642,76.80071351383818,-2.6106487190217535
C7,50/50,406.0,216.0,73.97408207343413,76.21442814092406,-2.2403460674899236
C7,50/50,430.0,240.0,72.67818574514038,75.65171230792562,-2.9735265627852385
C7,50/50,478.0,288.0,70.41036717062636,74.58916080909512,-4.178793638468761
C7,50/50,560.0,370.0,67.38660907127431,72.93758692419097,-5.55097785291666
C7,60/40,262.0,0.0,77.74298056155507,80.4838636092481,-2.740883047693032
C7,60/40,286.0,24.0,77.32181425485962,79.75875409872695,-2.4369398438673358
C7,60/40,310.0,48.0,76.56587473002162,79.07326274965735,-2.5073880196357266
C7,60/40,334.0,72.0,75.05399568034558,78.42271101321484,-3.3687153328692574
C7,60/40,358.0,96.0,74.29805615550757,77.80325602253451,-3.5051998670269455
C7,60/40,382.0,120.0,74.19006479481642,77.21169638292123,-3.0216315881048104
C7,60/40,406.0,144.0,73.97408207343413,76.64533231679279,-2.6712502433586565
C7,60/40,430.0,168.0,72.67818574514038,76.1018626606583,-3.423676915517916
C7,60/40,478.0,216.0,70.41036717062636,75.07594910221884,-4.6655819315924845
C7,60/40,560.0,298.0,67.38660907127431,73.48194654644784,-6.095337475173537
C7,70/30,310.0,0.0,76.56587473002162,78.93711678626123,-2.371242056239609
C7,70/30,334.0,24.0,75.05399568034558,78.27557996064317,-3.2215842802975914
C7,70/30,358.0,48.0,74.29805615550757,77.64550112204229,-3.3474449665347237
C7,70/30,382.0,72.0,74.19006479481642,77.04365667351126,-2.853591878694843
C7,70/30,406.0,96.0,73.97408207343413,76.46732656160124,-2.4932444881671074
C7,70/30,430.0,120.0,72.67818574514038,75.91419110072812,-3.2360053555877357
C7,70/30,478.0,168.0,70.41036717062636,74.86978032014274,-4.459413149516379
C7,70/30,560.0,250.0,67.38660907127431,73.24647139099038,-5.859862319716072
C8,50/50,190.0,0.0,79.36507936507937,79.61002084845482,-0.24494148337545596
C8,50/50,214.0,24.0,77.55102040816327,78.31962253595076,-0.7686021277874886
C8,50/50,238.0,48.0,75.68027210884354,77.11086151070802,-1.4305894018644807
C8,50/50,262.0,72.0,74.6031746031746,75.97257920883435,-1.3694046056597529
C8,50/50,286.0,96.0,73.5827664399093,74.89597810014395,-1.3132116602346429
