split,specimen,qoi,parameter,method,index_type,value,ci_low,ci_high
50/50,C3,T_0.80,k,sobol,total,0.192187054114864,0.14799333759138186,0.24207392986494328
50/50,C3,T_0.80,k,morris,mu_star,1526.370986780134,,
50/50,C3,T_0.80,k,morris,sigma,1411.6689567910505,,
50/50,C3,T_0.80,alpha,sobol,first,0.7581928702278268,0.7099458206647424,0.8014975003886023
50/50,C3,T_0.80,alpha,sobol,total,0.8793838980815656,0.7571455655999288,1.006219690512497
50/50,C3,T_0.80,alpha,morris,mu_star,2267.911693115857,,
50/50,C3,T_0.80,alpha,morris,sigma,1635.2845028933461,,
50/50,C3,T_0.80,f_inf,sobol,first,0.0421288113813002,-0.04252784794192743,0.12668053094296008
50/50,C3,T_0.80,f_inf,sobol,total,6.61128374868976e-14,5.1345880288887894e-14,8.252165164040006e-14
50/50,C3,T_0.80,f_inf,morris,mu_star,0.0007047339832936927,,
50/50,C3,T_0.80,f_inf,morris,sigma,0.0007933398248085083,,
50/50,C4,T_0.80,k,sobol,first,-0.028269780026139557,-0.12469704610703916,0.07886346766267945
50/50,C4,T_0.80,k,sobol,total,0.11620169111759532,0.09298528270404367,0.14603672214895852
50/50,C4,T_0.80,k,morris,mu_star,396.0540526122247,,
50/50,C4,T_0.80,k,morris,sigma,454.94015662481695,,
50/50,C4,T_0.80,alpha,sobol,first,0.8733979112596423,0.8467157205263094,0.8946279363246749
50/50,C4,T_0.80,alpha,sobol,total,0.9715494298852726,0.8608583735715375,1.0799323272502142
50/50,C4,T_0.80,alpha,morris,mu_star,1149.6547444971497,,
50/50,C4,T_0.80,alpha,morris,sigma,774.5894195734246,,
50/50,C4,T_0.80,f_inf,sobol,first,-0.05458343137746424,-0.14135614530855595,0.024710573431160454
50/50,C4,T_0.80,f_inf,sobol,total,4.369626541796807e-14,3.3068839293931977e-14,5.6800712669351337e-14
50/50,C4,T_0.80,f_inf,morris,mu_star,0.00032742743360465455,,
50/50,C4,T_0.80,f_inf,morris,sigma,0.0003181132508270437,,
50/50,C5,T_0.80,k,sobol,first,-0.0033732347217143577,-0.11834968244957757,0.10995926939816185
50/50,C5,T_0.80,k,sobol,total,0.11730667947264384,0.09629369878544983,0.1391251024168497
50/50,C5,T_0.80,k,morris,mu_star,413.18350642591247,,
50/50,C5,T_0.80,k,morris,sigma,488.95431158672324,,
50/50,C5,T_0.80,alpha,sobol,first,0.8529979546278457,0.8247302973459699,0.8766371378455983
50/50,C5,T_0.80,alpha,sobol,total,0.9472890264142343,0.8233770428153625,1.0649079408740163
50/50,C5,T_0.80,alpha,morris,mu_star,1060.765807427183,,
50/50,C5,T_0.80,alpha,morris,sigma,779.8615759588513,,
50/50,C5,T_0.80,f_inf,sobol,first,-0.0361529721871221,-0.12126724022462936,0.0674713691462571
50/50,C5,T_0.80,f_inf,sobol,total,3.586660206404492e-13,2.828476347422963e-13,4.398524521466353e-13
50/50,C5,T_0.80,f_inf,morris,mu_star,0.0006379372754210522,,
50/50,C5,T_0.80,f_inf,morris,sigma,0.000661507643909292,,
50/50,C6,T_0.80,k,sobol,first,0.0924430233655521,0.005641760891923689,0.17306177817731289
50/50,C6,T_0.80,k,sobol,total,0.11128924413246569,0.08988788431833375,0.13296310256272068
50/50,C6,T_0.80,k,morris,mu_star,155.966545738187,,
50/50,C6,T_0.80,k,morris,sigma,117.76582909697639,,
50/50,C6,T_0.80,alpha,sobol,first,0.8827914143160596,0.859203777419027,0.903112268487959
50/50,C6,T_0.80,alpha,sobol,total,0.9262567646745894,0.826758786373997,1.0177114659439215
